1.629046529 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a04f7 0xd6829d7 84 2147483647 170496 267368 29696
1.632563281 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.637813222 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a15ef 0xd683527 86 2147483647 170496 272849 29696
1.640886905 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.644720498 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a2c8f 0xd684077 88 2147483647 170496 278739 29696
1.647924301 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.652538664 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a432f 0xd684bc7 90 2147483647 170496 283833 29696
1.656987227 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.660377466 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a59cf 0xd685717 92 2147483647 170496 289266 29696
1.663314045 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.668134934 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a706f 0xd686267 94 2147483647 170496 294028 29696
1.670992036 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 176640
1.676975319 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a870f 0xd686db7 96 2147483647 170496 299164 29696
1.678684913 10.0.0.4:5001 10.0.0.2:40434 1480 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.682817140 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.682914928 10.0.0.1:40720 10.0.0.3:5001 32 0xd6a9daf 0xd687907 98 2147483647 170496 303796 29696
1.691163379 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 178176
1.691594155 10.0.0.1:40720 10.0.0.3:5001 32 0xd6ab44f 0xd688457 100 2147483647 170496 307984 29696
