1.171266980 10.0.0.2:40468 10.0.0.4:5001 32 0x571ea627 0x571d41cf 63 56 353280 225665 29696
1.173292567 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.180035855 10.0.0.2:40468 10.0.0.4:5001 32 0x571eb177 0x571d4d1f 63 56 358912 225840 29696
1.180663199 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.186885302 10.0.0.2:40468 10.0.0.4:5001 32 0x571ebcc7 0x571d586f 63 56 359424 226032 29696
1.188854348 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.194356743 10.0.0.2:40468 10.0.0.4:5001 32 0x571ec817 0x571d63bf 63 56 359424 226088 29696
1.196874690 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.202514986 10.0.0.2:40468 10.0.0.4:5001 32 0x571ecdbf 0x571d6f0f 63 56 359424 226148 29696
1.203801481 10.0.0.4:5001 10.0.0.2:40468 1480 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.208003155 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.209946776 10.0.0.2:40468 10.0.0.4:5001 32 0x571ee45f 0x571d7a5f 64 56 359424 227219 29696
1.215569203 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.229957078 10.0.0.2:40468 10.0.0.4:5001 32 0x571eefaf 0x571d85af 64 56 359424 228185 29696
1.230008004 10.0.0.2:40468 10.0.0.4:5001 32 0x571efaff 0x571d90ff 64 56 359424 230553 29696
1.230099089 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.233662746 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.236769819 10.0.0.2:40468 10.0.0.4:5001 32 0x571f064f 0x571da1f7 64 56 359424 231649 29696
1.251756849 10.0.0.2:40468 10.0.0.4:5001 32 0x571f119f 0x571dad47 64 56 359424 232043 29696
1.251911597 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.254744826 10.0.0.2:40468 10.0.0.4:5001 32 0x571f1cef 0x571db897 64 56 359424 233205 29696
1.255368558 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.263040454 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.270837263 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
1.273038061 10.0.0.2:40468 10.0.0.4:5001 32 0x571f283f 0x571dc3e7 64 56 359424 233762 29696
